city_code,building_anchor_id,legacy_building_id,building_osm_id,geometry_hausdorff_degrees
BJS,B00001,way/24863,way/1025388836,1.4210854715202004e-14
BJS,B00002,way/25427,way/1095910518,1.5888218580782548e-14
BJS,B00003,way/173,relation/14180530,1.5888218580782548e-14
BJS,B00004,way/20439,way/764531232,1.4210854715202004e-14
BJS,B00005,way/10460,way/479314879,1.5888218580782548e-14
BJS,B00006,way/20512,way/764531359,1.4210854715202004e-14
BJS,B00007,way/16072,way/637271134,1.5888218580782548e-14
BJS,B00008,way/15818,way/637263812,1.5888218580782548e-14
BJS,B00009,way/4377,way/312056654,1.4210854715202004e-14
BJS,B00010,way/29607,way/1369817048,1.4210854715202004e-14
BJS,B00011,way/17142,way/638714840,1.4210854715202004e-14
BJS,B00012,way/13064,way/543848782,2.1316282072803006e-14
BJS,B00013,way/10309,way/479291501,1.5888218580782548e-14
BJS,B00014,way/21452,way/764629270,1.4210854715202004e-14
BJS,B00015,way/20854,way/764618543,1.4210854715202004e-14
BJS,B00016,way/5628,way/352933664,1.4210854715202004e-14
BJS,B00017,way/15911,way/637263908,1.5888218580782548e-14
BJS,B00018,way/18194,way/681798950,1.5888218580782548e-14
BJS,B00019,way/18197,way/681798953,1.5888218580782548e-14
BJS,B00020,way/29738,way/1408929045,1.5888218580782548e-14
BJS,B00021,way/17063,way/638714753,1.5888218580782548e-14
BJS,B00022,way/11638,way/520812293,1.4210854715202004e-14
BJS,B00023,way/11277,way/519941346,1.5888218580782548e-14
BJS,B00024,way/10015,way/479274470,1.5888218580782548e-14
BJS,B00025,way/20785,way/764592192,1.5888218580782548e-14
BJS,B00026,way/15576,way/637263505,1.5888218580782548e-14
BJS,B00027,way/15779,way/637263760,1.4210854715202004e-14
BJS,B00028,way/25530,way/1149325114,1.5888218580782548e-14
BJS,B00029,way/18985,way/695936589,7.105427357601002e-15
BJS,B00030,way/21541,way/810763742,1.5888218580782548e-14
BJS,B00031,way/4186,way/297847683,1.4210854715202004e-14
BJS,B00032,way/29326,way/1325469248,1.4210854715202004e-14
BJS,B00033,way/10996,way/519900953,2.0097183471152322e-14
BJS,B00034,way/8373,way/477934714,1.4210854715202004e-14
BJS,B00035,way/8761,way/478341956,1.4210854715202004e-14
BJS,B00036,way/28895,way/1318440595,1.5888218580782548e-14
BJS,B00037,way/28275,way/1318107078,1.5888218580782548e-14
BJS,B00038,way/28783,way/1318378535,2.5618982671915014e-14
BJS,B00039,way/13271,way/567892313,1.4210854715202004e-14
BJS,B00040,way/19036,way/723617047,1.4210854715202004e-14
BJS,B00041,way/12974,way/532863291,1.4210854715202004e-14
BJS,B00042,way/10908,way/519416366,1.5888218580782548e-14
BJS,B00043,way/26033,way/1240401413,2.0097183471152322e-14
BJS,B00044,way/10756,way/491272296,1.5888218580782548e-14
BJS,B00045,way/29675,way/1382947097,1.4210854715202004e-14
BJS,B00046,way/28983,way/1318447492,1.4210854715202004e-14
BJS,B00047,way/16614,way/638284996,7.105427357601002e-15
BJS,B00048,way/16763,way/638294838,1.4210854715202004e-14
BJS,B00049,way/16695,way/638294757,1.4210854715202004e-14
BJS,B00050,way/24270,way/989877579,1.4210854715202004e-14
BJS,B00051,way/1690,way/175598170,1.4210854715202004e-14
BJS,B00052,way/9626,way/478581641,1.5888218580782548e-14
BJS,B00053,way/270,way/33459734,1.5888218580782548e-14
BJS,B00054,way/1906,way/225934844,1.5888218580782548e-14
BJS,B00055,way/15027,way/637225546,1.5888218580782548e-14
BJS,B00056,way/19025,way/704098134,1.5888218580782548e-14
BJS,B00057,way/7550,way/469539660,2.0097183471152322e-14
BJS,B00058,way/16735,way/638294804,7.105427357601002e-15
BJS,B00059,way/20099,way/764446084,1.5888218580782548e-14
BJS,B00060,way/12357,way/524660492,1.4210854715202004e-14
BJS,B00061,way/27525,way/1263656543,1.4210854715202004e-14
BJS,B00062,way/3016,way/257208887,1.5888218580782548e-14
BJS,B00063,way/17660,way/654415482,1.5888218580782548e-14
BJS,B00064,way/8479,way/478118190,1.5888218580782548e-14
BJS,B00065,way/29497,way/1353573333,1.4210854715202004e-14
BJS,B00066,way/8913,way/478407416,1.5888218580782548e-14
BJS,B00067,way/1371,way/116939990,1.4210854715202004e-14
BJS,B00068,way/19420,way/764431839,1.4210854715202004e-14
BJS,B00069,way/20274,way/764451614,1.5888218580782548e-14
BJS,B00070,way/23469,way/935807922,1.4210854715202004e-14
BJS,B00071,way/22282,way/893293351,1.5888218580782548e-14
BJS,B00072,way/13225,way/560475775,1.4210854715202004e-14
BJS,B00073,way/26177,way/1243634435,2.0097183471152322e-14
BJS,B00074,way/12277,way/523523938,1.5888218580782548e-14
BJS,B00075,way/14537,way/636389110,1.5888218580782548e-14
BJS,B00076,way/14397,way/636357993,1.5888218580782548e-14
BJS,B00077,way/4778,way/346548259,1.4210854715202004e-14
BJS,B00078,way/5343,way/352527374,1.5888218580782548e-14
BJS,B00079,way/19786,way/764438462,1.5888218580782548e-14
BJS,B00080,way/4335,way/302188946,1.5888218580782548e-14
BJS,B00081,way/23608,way/950001405,1.4210854715202004e-14
BJS,B00082,way/3428,way/262362358,1.5888218580782548e-14
BJS,B00083,way/29790,way/1423025977,1.5888218580782548e-14
BJS,B00084,way/2721,way/255789071,1.4210854715202004e-14
BJS,B00085,way/26002,way/1232126538,1.4210854715202004e-14
BJS,B00086,way/9839,way/478927781,7.105427357601002e-15
BJS,B00087,way/6738,way/441735318,2.0097183471152322e-14
BJS,B00088,way/24242,way/989874896,1.5888218580782548e-14
BJS,B00089,way/2263,way/232118923,1.5888218580782548e-14
BJS,B00090,way/12947,way/529761022,1.4210854715202004e-14
BJS,B00091,way/8449,way/478014196,1.4210854715202004e-14
BJS,B00092,way/22669,way/893304103,1.4210854715202004e-14
BJS,B00093,way/14100,way/632245347,1.4210854715202004e-14
BJS,B00094,way/6559,way/426414908,1.4210854715202004e-14
BJS,B00095,way/13880,way/631920029,1.4210854715202004e-14
BJS,B00096,way/25914,way/1223117947,1.5888218580782548e-14
BJS,B00097,way/5715,way/356871646,7.105427357601002e-15
BJS,B00098,way/25388,way/1075534550,7.105427357601002e-15
BJS,B00099,way/24783,way/1021970987,1.5888218580782548e-14
BJS,B00100,way/22873,way/911803135,1.4210854715202004e-14
BJS,B00101,way/7614,way/475423638,1.5888218580782548e-14
BJS,B00102,way/26005,way/1235565230,2.0097183471152322e-14
