instance_id,city_zh,city_code,city_name_en,scale,pattern,seed,instance_dir,generation_config
GISB-BJS-CU-100-S012,北京,BJS,Beijing central area,100,CU,12,data/instances/GISB-BJS-CU-100-S012,metadata/generation_configs/gis_b_bjs_cu_100_s012.json
GISB-BJS-CU-100-S034,北京,BJS,Beijing central area,100,CU,34,data/instances/GISB-BJS-CU-100-S034,metadata/generation_configs/gis_b_bjs_cu_100_s034.json
GISB-BJS-CU-100-S056,北京,BJS,Beijing central area,100,CU,56,data/instances/GISB-BJS-CU-100-S056,metadata/generation_configs/gis_b_bjs_cu_100_s056.json
GISB-BJS-CU-100-S078,北京,BJS,Beijing central area,100,CU,78,data/instances/GISB-BJS-CU-100-S078,metadata/generation_configs/gis_b_bjs_cu_100_s078.json
GISB-BJS-CU-100-S090,北京,BJS,Beijing central area,100,CU,90,data/instances/GISB-BJS-CU-100-S090,metadata/generation_configs/gis_b_bjs_cu_100_s090.json
GISB-BJS-CH-100-S012,北京,BJS,Beijing central area,100,CH,12,data/instances/GISB-BJS-CH-100-S012,metadata/generation_configs/gis_b_bjs_ch_100_s012.json
GISB-BJS-CH-100-S034,北京,BJS,Beijing central area,100,CH,34,data/instances/GISB-BJS-CH-100-S034,metadata/generation_configs/gis_b_bjs_ch_100_s034.json
GISB-BJS-CH-100-S056,北京,BJS,Beijing central area,100,CH,56,data/instances/GISB-BJS-CH-100-S056,metadata/generation_configs/gis_b_bjs_ch_100_s056.json
GISB-BJS-CH-100-S078,北京,BJS,Beijing central area,100,CH,78,data/instances/GISB-BJS-CH-100-S078,metadata/generation_configs/gis_b_bjs_ch_100_s078.json
GISB-BJS-CH-100-S090,北京,BJS,Beijing central area,100,CH,90,data/instances/GISB-BJS-CH-100-S090,metadata/generation_configs/gis_b_bjs_ch_100_s090.json
GISB-BJS-CZ-100-S012,北京,BJS,Beijing central area,100,CZ,12,data/instances/GISB-BJS-CZ-100-S012,metadata/generation_configs/gis_b_bjs_cz_100_s012.json
GISB-BJS-CZ-100-S034,北京,BJS,Beijing central area,100,CZ,34,data/instances/GISB-BJS-CZ-100-S034,metadata/generation_configs/gis_b_bjs_cz_100_s034.json
