instance_id,city_id,cluster_pattern,scale,instance_seed,lower_bound,upper_bound,gap,status,bks_technicians,bks_travel_time_min,bks_waiting_time_min,method,run_seed,source_run_seeds,validator_status,solution_file,solution_sha256,dataset_release,source_reference_batch
GISB-BJS-CH-100-S012,BJS,CH,100,12,1,1,0,K-OPT,1,689.280171,102.206991,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CH-100-S012_solution.csv,cc00b743db81683258ff579700d5a8396588abc26f4d9d954d74030de959829e,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-100-S034,BJS,CH,100,34,1,1,0,K-OPT,1,675.282881,177.393491,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CH-100-S034_solution.csv,97ae88544d2e08e20bc0104129acdea05e79f88a741854ef169125894d1e4501,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-100-S056,BJS,CH,100,56,1,1,0,K-OPT,1,729.212569,11.946768,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CH-100-S056_solution.csv,dbf76e34755484665d827caa30e9d6785ea3c15f3322f7abe5dd0bb10ae21c41,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-100-S078,BJS,CH,100,78,1,1,0,K-OPT,1,765.052293,0.0,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CH-100-S078_solution.csv,fbae2804bd5f46c3ad354ea502d3b3882602779d705f70f3ae6abded2b4446ee,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-100-S090,BJS,CH,100,90,1,1,0,K-OPT,1,685.442717,65.884959,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CH-100-S090_solution.csv,33c0a638522f3566a74442c96f78a9637ec150745d7746bc9621ac8d2a653254,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-1000-S012,BJS,CH,1000,12,5,6,1,K-OPEN,6,11765.686688,89.982412,IGA,303.0,303,PASS,solutions/GISB-BJS-CH-1000-S012_solution.csv,00195d06cbb8a435dec25aa2efa2c3b6b91d4108a499865a0724a202f2b9e6fa,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-1000-S034,BJS,CH,1000,34,5,7,2,K-OPEN,7,11264.842812,283.789392,IGA,505.0,505,PASS,solutions/GISB-BJS-CH-1000-S034_solution.csv,f9409c784ff30383ee5e137fb9a2ce262869f4bc67ba21b974d7099a572918e4,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-1000-S056,BJS,CH,1000,56,5,7,2,K-OPEN,7,10715.61335,64.125224,IGA,505.0,505,PASS,solutions/GISB-BJS-CH-1000-S056_solution.csv,ff2fb71702f22deb192e3dbbeb2c81d6db88a68c1e228a6a596fc5666802bb92,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-1000-S078,BJS,CH,1000,78,5,6,1,K-OPEN,6,11601.648449,157.606642,IGA,202.0,202,PASS,solutions/GISB-BJS-CH-1000-S078_solution.csv,020b2f003c3ba98f35254d1334272d8d8ea92bd6b449409e72cccff8b8b8d2c7,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-1000-S090,BJS,CH,1000,90,5,7,2,K-OPEN,7,10681.027212,36.078677,IGA,404.0,404,PASS,solutions/GISB-BJS-CH-1000-S090_solution.csv,9e69f5d5499e3d807fc8f95408a9aed6400f6dddc9b830e206b51e5c4595cac0,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-500-S012,BJS,CH,500,12,3,3,0,K-OPT,3,5853.732801,61.644166,IGA,101.0,101,PASS,solutions/GISB-BJS-CH-500-S012_solution.csv,45b94b150155da6a5bfdaa0bf2a193ca0a99d616fee2a9d1a8a9036207a3aba6,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-500-S034,BJS,CH,500,34,3,3,0,K-OPT,3,5813.348489,36.075537,IGA_fixed_K3_refinement_5x90s,202.0,202,PASS,solutions/GISB-BJS-CH-500-S034_solution.csv,33f8e7a3de9d09ba8f8f64da698ba098e7aea0988c2e810f0556919ff061adca,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-500-S056,BJS,CH,500,56,3,3,0,K-OPT,3,5961.012867,37.957415,IGA_fixed_K3_refinement_5x90s,404.0,404,PASS,solutions/GISB-BJS-CH-500-S056_solution.csv,5dd0e2622549c686db1af604d6df19830949a0d2fabecaddba01d0d3ea458d91,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-500-S078,BJS,CH,500,78,3,3,0,K-OPT,3,5653.824107,53.075104,IGA,404.0,404,PASS,solutions/GISB-BJS-CH-500-S078_solution.csv,f2fbcdb69cfa6cd7bb2b69c6da7b70df56269b6091f4b82b41b84c9a1c85a460,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CH-500-S090,BJS,CH,500,90,3,4,1,K-OPEN,4,5794.622985,250.812971,IGA,404.0,404,PASS,solutions/GISB-BJS-CH-500-S090_solution.csv,db0d5094ef2cb29c76ec462c4baa7dadcaa17edb19e4504a427415912b38bfc7,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-100-S012,BJS,CU,100,12,1,1,0,K-OPT,1,684.016106,6.182283,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CU-100-S012_solution.csv,46695ffea39177d68bd13ff84726b59f9ab5b97fab66cd8749f48e41101e3fc4,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-100-S034,BJS,CU,100,34,1,1,0,K-OPT,1,655.511465,134.715377,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CU-100-S034_solution.csv,3134079945b135662634e6e0f268adef0763d417073a1d7181fc24053e4c6e5f,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-100-S056,BJS,CU,100,56,1,1,0,K-OPT,1,738.234085,105.749935,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CU-100-S056_solution.csv,c5c082ace3aafbff160193bd6bf34041032307314d7f52f2640f6cde2c7f7faf,GIS-B-ME-v1.0,20260909_reference_after_small45
GISB-BJS-CU-100-S078,BJS,CU,100,78,1,1,0,K-OPT,1,685.710339,173.105266,B0_5IGA_route_templates_plus_CPLEX_recombination,,0|101|202|303|404|505,PASS,solutions/GISB-BJS-CU-100-S078_solution.csv,61cd7cd9ba1d8f0acdaa048adf7928ad98d50864bcc9b4e9fe95807688e6a7f4,GIS-B-ME-v1.0,20260909_reference_after_small45
